EventID|Time|Latitude|Longitude|Depth/km|Author|Catalog|Contributor|ContributorID|MagType|Magnitude|MagAuthor|EventLocationName|EventType|Hora|geometry
usp2023ebno|2023-02-27 18:07:52.987049|-3.807706|-40.661884|0.0|JROBERTO||USP|usp2023ebno|mR|1.881422465|jroberto|Mucambo/CE|earthquake|18|POINT (-40.661884 -3.807706)
usp2023dqqu|2023-02-21 19:16:29.627007|-14.112686|-39.00449|0.0|JROBERTO||USP|usp2023dqqu|mR|2.249090085|jroberto|Marau/BA|earthquake|19|POINT (-39.00449 -14.112686)
usp2023dqqq|2023-02-21 19:11:20.536181|-14.079695|-38.975113|0.0|JROBERTO||USP|usp2023dqqq|mR|2.148217285|jroberto|Marau/BA|earthquake|19|POINT (-38.975113 -14.079695)
usp2023dfej|2023-02-15 12:29:45.037282|-10.094605|-36.546612|0.0|JROBERTO||USP|usp2023dfej|mR|1.951800852|jroberto|Igreja Nova/AL|earthquake|12|POINT (-36.546612 -10.094605)
usp2023crrs|2023-02-08 03:19:48.898999|-8.360725|-36.049656|0.0|JROBERTO||USP|usp2023crrs|mR|2.041708462|jroberto|Sao Caitano/PE|earthquake|3|POINT (-36.049656 -8.360725)
usp2023cqgz|2023-02-07 08:46:31.817296|-22.139929|-44.583233|0.0|JROBERTO||USP|usp2023cqgz|mR|2.511990709|jroberto|Alagoa/MG|earthquake|8|POINT (-44.583233 -22.139929)
usp2023ciqc|2023-02-03 04:17:54.425578|-16.465494|-60.05143|0.0|JROBERTO||USP|usp2023ciqc|mR|3.182224081|jroberto|Central Bolivia|earthquake|4|POINT (-60.05143 -16.465494)
usp2023cgai|2023-02-01 18:03:27.753567|-3.974252|-40.206661|0.0|JROBERTO||USP|usp2023cgai|mR|2.242479902|jroberto|Forquilha/CE|earthquake|18|POINT (-40.206661 -3.974252)
usp2023cett|2023-02-01 01:35:35.559792|-21.66893|-46.699249|0.0|BRUNO||USP|usp2023cett|mR|2.931356631|bruno|Divinolandia/SP|earthquake|1|POINT (-46.699249 -21.66893)
usp2023ccsh|2023-01-30 22:35:18.952129|-21.234323|-50.181377|0.0|JROBERTO||USP|usp2023ccsh|mR|2.436458927|jroberto|Brejo Alegre/SP|earthquake|22|POINT (-50.181377 -21.234323)
usp2023bpis|2023-01-23 14:58:14.423069|-20.342834|-45.658932|0.0|JROBERTO||USP|usp2023bpis|mR|2.565289333|jroberto|Pains/MG|earthquake|14|POINT (-45.658932 -20.342834)
usp2023bozo|2023-01-23 10:20:42.652000|-21.282322|-48.512005|0.0|JROBERTO||USP|usp2023bozo|mR|1.996838851|jroberto|Monte Alto/SP|earthquake|10|POINT (-48.512005 -21.282322)
usp2023bcti|2023-01-16 17:33:54.743942|-11.316056|-40.447136|0.0|JROBERTO||USP|usp2023bcti|MLv|2.387721586|jroberto|Jacobina/BA|earthquake|17|POINT (-40.447136 -11.316056)
usp2023avgv|2023-01-12 15:18:18.078665|-17.969469|-47.785545|0.0|JROBERTO||USP|usp2023avgv|mR|2.42263445|jroberto|Catalao/GO|earthquake|15|POINT (-47.785545 -17.969469)
usp2023akhc|2023-01-06 14:56:07.770631|-10.97089|-39.324005|0.0|JROBERTO||USP|usp2023akhc|mR|1.996393318|jroberto|Nordestina/BA|earthquake|14|POINT (-39.324005 -10.97089)
usp2023ajns|2023-01-06 05:09:22.841341|-9.855293|-39.824017|0.0|JROBERTO||USP|usp2023ajns|mR|2.428939905|jroberto|Uaua/BA|earthquake|5|POINT (-39.824017 -9.855293)
usp2023aaav|2023-01-01 00:24:38.942284|-25.36322|-46.609509|0.0|JROBERTO||USP|usp2023aaav|mR|2.55199794|jroberto|Plataf.Continental SP/PR|earthquake|0|POINT (-46.609509 -25.36322)
usp2022zffw|2022-12-25 15:02:54.759999|-16.705333|-44.321167|0.0|MASSUMPCAO||USP|usp2022zffw|mR|2.377083202|marcelo|Coracao de Jesus/MG|earthquake|15|POINT (-44.321167 -16.705333)
usp2022yigx|2022-12-13 01:25:37.276582|-18.695053|-44.940071|0.0|JROBERTO||USP|usp2022yigx|mR|2.262001492|jroberto|Felixlandia/MG|earthquake|1|POINT (-44.940071 -18.695053)
usp2022xykb|2022-12-07 15:40:42.527553|-19.015528|-43.532303|0.0|JROBERTO||USP|usp2022xykb|mR|2.266801537|jroberto|Conceicao do Mato Dentro/MG|earthquake|15|POINT (-43.532303 -19.015528)
usp2022xulj|2022-12-05 11:47:33.528136|-9.838976|-39.912457|0.0|JROBERTO||USP|usp2022xulj|mR|2.678910911|jroberto|Uaua/BA|earthquake|11|POINT (-39.912457 -9.838976)
usp2022wzpo|2022-11-24 02:02:35.956434|-19.524851|-44.169804|0.0|BRUNO||USP|usp2022wzpo|mR|2.193491722|bruno|Sete Lagoas/MG|earthquake|2|POINT (-44.169804 -19.524851)
usp2022wytu|2022-11-23 15:02:48.460480|-8.826468|-36.483761|0.0|JROBERTO||USP|usp2022wytu|mR|1.905762926|jroberto|Garanhuns/PE|earthquake|15|POINT (-36.483761 -8.826468)
usp2022wxbh|2022-11-22 16:34:21.140899|-19.520342|-44.009911|0.0|JROBERTO||USP|usp2022wxbh|mR|2.097951429|jroberto|Matozinhos/MG|earthquake|16|POINT (-44.009911 -19.520342)
