event,label_cat,mag,lat,lon,pred,prob_nat
20200330182403,0,-0.1347118073,-27.24338462,-52.0962098,1,0.306
20200330181026,0,0.3813789653,-27.2425459,-52.08983972,1,0.15
20200330181017,0,-0.1440443513,-27.24335231,-52.0846134,1,0.022
20200323193355,0,1.979303427,-28.68350601,-51.52464676,1,0.353
20200319151034,0,1.161815771,-27.25884711,-52.31587243,1,0.026
20200318141406,0,-0.1073577325,-27.19209946,-52.16837196,0,0.799
20200315054325,0,-0.01619556565,-27.67190391,-51.34814358,1,0.194
20200315051213,0,-0.05262145455,-27.12297802,-52.06507901,0,0.992
20200314043635,0,0.0252691191,-27.1253736,-52.05856329,0,0.583
20200310142428,1,1.116099711,-27.12934924,-52.29321774,1,0.01
20200304170204,0,0.9147125993,-27.31147315,-51.96031246,0,0.832
20200302191615,1,0.9777156031,-27.12827712,-52.02203818,0,0.73
20200302185034,1,1.008148969,-27.21974771,-52.04919749,1,0.487
20200228191137,1,0.9661489158,-27.13119755,-52.03635725,1,0.043
20200228113751,0,0.05513580523,-27.2435876,-52.09453035,1,0.122
20200228113725,0,0.506605023,-27.24107083,-52.08996077,1,0.384
20200226191009,1,0.9994302475,-27.14146837,-52.04459449,1,0.007
20200221190536,1,0.8740831863,-27.13395559,-52.0331801,0,0.749
20200219190544,1,0.7396719106,-27.15891902,-52.03408014,0,0.936
20200217190456,1,0.3837753103,-27.16363776,-52.04108046,1,0.41
20200214151159,0,2.484817529,-29.54549599,-51.66169739,1,0.03
20200213144553,0,2.412344616,-28.32185173,-51.33520508,1,0.229
20200212202103,1,2.409244188,-27.88031578,-50.40133667,1,0.357
20200212180010,0,-0.2723069357,-27.20645011,-52.1561979,0,0.572
20200212175945,0,-0.3763409323,-27.20936883,-52.15575479,0,0.83
20200212175738,0,-0.1561103159,-27.21248781,-52.15331957,0,0.566
20200212011845,0,0.6023164871,-27.46003959,-52.37838476,0,0.959
20200211191139,0,0.01193600618,-27.27353329,-52.04644354,0,0.963
20200211190055,0,-0.1736193521,-27.2575343,-52.05131851,0,0.965
20200211185008,0,-0.03156654688,-27.25243035,-52.05120276,0,0.946
20200206170130,1,1.270408911,-27.18253273,-52.04842977,0,0.996
20200203163522,0,0.102893763,-27.24774665,-52.05159599,0,0.911
20200203145718,0,0.31483177,-27.25740088,-52.04094848,0,0.969
20200203133457,0,-0.177502153,-27.27540262,-52.0499541,1,0.48
20200203123431,0,-0.02845519693,-27.25966712,-52.04371801,1,0.379
20200131235716,0,-0.4223380088,-27.19809564,-52.107684,1,0.403
20200131111518,0,-0.520122067,-27.20537048,-52.13981865,1,0.294
20200130170109,1,0.322950435,-27.20419224,-52.05025224,0,0.941
20200130102157,0,-0.5678125753,-27.33056779,-52.33133859,1,0.05
